node_1, node_2
1351591868114,1351591800440
1351591868114,1351671926347
1351591800440,1351671926347
1351591868114,1351672500995
1351591800440,1351671926347
1351591800440,1351672370785
1351591800440,1351591868114
1351671926347,1351672370785
1351671926347,1351591868114
1351672370785,1351591868114
1351591800440,1351671926347
1351672370785,1351671926347
1351672370785,1351591868114
1351671926347,1351591868114
1351591868114,1351672500995
1351591868114,1351591800440
1351591868114,1351671926347
1351672500995,1351591800440
1351672500995,1351671926347
1351591800440,1351671926347
1351672500995,1351591800440
1351672500995,1351671926347
1351672500995,1351591868114
1351672500995,1351591695721
1351591800440,1351671926347
1351591800440,1351591868114
1351591800440,1351591695721
1351671926347,1351591868114
1351671926347,1351591695721
1351591868114,1351591695721
1351671926347,1351591800440
1351671926347,1351591695721
1351671926347,1351591868114
1351591695721,1351591868114
1351591800440,1351671926347
1351591868114,1351671926347
1351591868114,1351591800440
1351671926347,1351591800440
1351672500995,1351591800440
1351672500995,1351591868114
1351591800440,1351591868114
1351672500995,1351672370785
1351591868114,1351671926347
1351672500995,1351671926347
1351672500995,1351591868114
1351671926347,1351591868114
1351672500995,1351591868114
1351672500995,1351672370785
1388398219644,1388397963712
1388398219644,1388398156925
1388397963712,1388398156925
1388397963712,1388398577264
1388398577264,1388397694740
1351591800440,1351671926347
1351591868114,1351591800440
1351591868114,1351591695721
1351591868114,1351591800440
1351591868114,1351671926347
1351591868114,1351672370785
1351591695721,1351591800440
1351591695721,1351671926347
1351591695721,1351672370785
1351591800440,1351671926347
1351591800440,1351672370785
1351671926347,1351672370785
1388398517822,1388397694740
1388396134379,1388396634884
1388397600522,1388398577264
1351672500995,1351591868114
1351672500995,1351671926347
1351672500995,1351672370785
1351591868114,1351671926347
1351671926347,1351591800440
1351672370785,1351672500995
1351591800440,1351591868114
1351591695721,1351671926347
1351591695721,1351591800440
1351671926347,1351591800440
1351671926347,1351591868114
1351591868114,1351671926347
1351591868114,1351591800440
1351671926347,1351591800440
1351672370785,1351591868114
1351672370785,1351672500995
1351591868114,1351591800440
1351591868114,1351672500995
1351671926347,1351672500995
1351672500995,1351591868114
1351671926347,1351672500995
1351591868114,1351672500995
1351591800440,1351672500995
1388398577264,1388397694740
1388398577264,1388397600522
1388397694740,1388397600522
1351591800440,1351671926347
1351591800440,1351591868114
1351671926347,1351591868114
1351672500995,1351591800440
1351672500995,1351671926347
1351672500995,1351591868114
1351591800440,1351671926347
1351591800440,1351591868114
1351671926347,1351591868114
1351591868114,1351672500995
1351672500995,1351591800440
1351672500995,1351671926347
1351672500995,1351591868114
1351591800440,1351671926347
1351591800440,1351591868114
1351671926347,1351591868114
1351591868114,1351671926347
1351672500995,1351591868114
1351591868114,1351672370785
1351671926347,1351591800440
1351672370785,1351672500995
1351671926347,1351591868114
1351671926347,1351591868114
1351591800440,1351671926347
1351591800440,1351591868114
1351671926347,1351591868114
1351591800440,1351671926347
1351591800440,1351591868114
1351671926347,1351591868114
1351591868114,1351672500995
1351591868114,1351672370785
1351591868114,1351671926347
1351591868114,1351591800440
1351672370785,1351671926347
1351672370785,1351591800440
1351671926347,1351591800440
1388398156925,1388397916219
1351671926347,1351591868114
1351591800440,1351591868114
1351591868114,1351591800440
1351591868114,1351671926347
1351591800440,1351671926347
1388397694740,1388397600522
1351591868114,1351671926347
1351671926347,1351591868114
1351672500995,1351591868114
1351591868114,1351672500995
1351671926347,1351591868114
1351591800440,1351671926347
1351591868114,1351671926347
1351591868114,1351671926347
1351591868114,1351672370785
1351671926347,1351672370785
1351591800440,1351671926347
1351591800440,1351591868114
1351591800440,1351671926347
1351591868114,1351672500995
1388398517822,1388398156925
1351591868114,1351671926347
1351591868114,1351591695721
1351591868114,1351671926347
1351671926347,1351591868114
1388398517822,1388398219644
1351591868114,1351672500995
1351591868114,1351671926347
1351591868114,1351591800440
1351672500995,1351671926347
1351672500995,1351591800440
1351671926347,1351591800440
1351671926347,1351591800440
1388398577264,1388398517822
1351591868114,1351672500995
1351671926347,1351591868114
1351591868114,1351591800440
1351671926347,1351672370785
1351591800440,1351672500995
1351591800440,1351591868114
1351672500995,1351591868114
1351591695721,1351591800440
1351591695721,1351671926347
1351591800440,1351671926347
1351591868114,1351671926347
1351591868114,1351671926347
1351671926347,1351591868114
1351591800440,1351671926347
1351591800440,1351591868114
1351671926347,1351591868114
1351672370785,1351591868114
1351671926347,1351591868114
1351671926347,1351591695721
1351591800440,1351672500995
1351591800440,1351671926347
1351591800440,1351672370785
1351591800440,1351591868114
1351672500995,1351671926347
1351672500995,1351672370785
1351672500995,1351591868114
1351671926347,1351672370785
1351671926347,1351591868114
1351672370785,1351591868114
1351671926347,1351591868114
1351672500995,1351591868114
1351671926347,1351591868114
1351591868114,1351671926347
1351591868114,1351591695721
1351671926347,1351591800440
1351591800440,1351672500995
1351591800440,1351671926347
1351591800440,1351591868114
1351672500995,1351671926347
1351672500995,1351591868114
1351671926347,1351591868114
1351671926347,1351591868114
1351671926347,1351591868114
1351672370785,1351671926347
1351672370785,1351591800440
1351672370785,1351591868114
1351671926347,1351591800440
1351671926347,1351591868114
1351591800440,1351591868114
1351672500995,1351591800440
1351591868114,1351591800440
1351591868114,1351672500995
1351591868114,1351672370785
1351591800440,1351672500995
1351591800440,1351672370785
1351672500995,1351672370785
1351591800440,1351672500995
1351591800440,1351591695721
1351672500995,1351591695721
1351671926347,1351591868114
1351591868114,1351671926347
1351591868114,1351672370785
1351671926347,1351672370785
1351672370785,1351671926347
1351672370785,1351591868114
1351671926347,1351591868114
1351591868114,1351671926347
1388398577264,1388397600522
1351671926347,1351591800440
1351671926347,1351591868114
1351591800440,1351591868114
1351591868114,1351671926347
1351591868114,1351672500995
1351671926347,1351672500995
1351671926347,1351591800440
1388398577264,1388398421885
1351671926347,1351591695721
1351591868114,1351671926347
1351672500995,1351671926347
1351672500995,1351591868114
1351671926347,1351591868114
1351591868114,1351671926347
1351591868114,1351591800440
1351591868114,1351672370785
1351671926347,1351591800440
1351671926347,1351672370785
1351591800440,1351672370785
1351591800440,1351671926347
1351591800440,1351591868114
1351591800440,1351591695721
1351671926347,1351591868114
1351671926347,1351591695721
1351591868114,1351591695721
1351591800440,1351671926347
1351591800440,1351591695721
1351671926347,1351591695721
1351672500995,1351591868114
1351671926347,1351591868114
1351591868114,1351672500995
1351591868114,1351672500995
1351591868114,1351591800440
1351672500995,1351591800440
1351671926347,1351591868114
1351591800440,1351671926347
1351591800440,1351591868114
1351671926347,1351591868114
1351591800440,1351671926347
1351591868114,1351672500995
1351672500995,1351591868114
1351591800440,1351591695721
1351591868114,1351591695721
1351591868114,1351671926347
1351591868114,1351672500995
1351591868114,1351591800440
1351591695721,1351671926347
1351591695721,1351672500995
1351591695721,1351591800440
1351671926347,1351672500995
1351671926347,1351591800440
1351672500995,1351591800440
1351672500995,1351672370785
1351672500995,1351591868114
1351591868114,1351591800440
1351671926347,1351591868114
1351672370785,1351672500995
1351591800440,1351672500995
1351591800440,1351591868114
1351591800440,1351591695721
1351672500995,1351591868114
1351672500995,1351591695721
1351591868114,1351591695721
1351591800440,1351671926347
1351672500995,1351671926347
1351672500995,1351591868114
1351671926347,1351591868114
1351591800440,1351671926347
1388397600522,1388398577264
1388398156925,1388398577264
1388398156925,1388398421885
1388398577264,1388398421885
1351591868114,1351671926347
1351591868114,1351591800440
1351671926347,1351591800440
1351671926347,1351591868114
1351591868114,1351671926347
1351591868114,1351672500995
1351591868114,1351671926347
1351591868114,1351591800440
1351672500995,1351671926347
1351672500995,1351591800440
1351671926347,1351591800440
1351591800440,1351591868114
1388398456156,1388397963712
1388397600522,1388398577264
1351671926347,1351591800440
1351671926347,1351591868114
1351591800440,1351591868114
1351591868114,1351591800440
1351591868114,1351672500995
1351591800440,1351672500995
1388397963712,1388398219644
1351591868114,1351671926347
1351591868114,1351671926347
1388398577264,1388397916219
1351672500995,1351591868114
1351672370785,1351591868114
1351591868114,1351591800440
1351672500995,1351671926347
1351672500995,1351591868114
1351671926347,1351591868114
1388398577264,1388398517822
1351591868114,1351672370785
1351591868114,1351672500995
1351591868114,1351671926347
1351672370785,1351672500995
1351672370785,1351671926347
1351672500995,1351671926347
1351591868114,1351591800440
1351672500995,1351671926347
1351672500995,1351591868114
1351671926347,1351591868114
1351672500995,1351591868114
1351672500995,1351591868114
1351591868114,1351672500995
1351591868114,1351591800440
1351672500995,1351591800440
1351672370785,1351672500995
1351672370785,1351591868114
1351672500995,1351591868114
1351591868114,1351591800440
1351591868114,1351671926347
1351591800440,1351671926347
1351591868114,1351591800440
1351591868114,1351671926347
1351671926347,1351591800440
1388397600522,1388398577264
1351671926347,1351591868114
1351591868114,1351671926347
1351591868114,1351591800440
1351671926347,1351591800440
1351671926347,1351591868114
1388397694740,1388397600522
1388398577264,1388397600522
1351671926347,1351591868114
1351671926347,1351591868114
1351672500995,1351672370785
1351591800440,1351671926347
1351591800440,1351591868114
1351671926347,1351591868114
1351591868114,1351672500995
1351591868114,1351671926347
1351591868114,1351672370785
1351672500995,1351671926347
1351672500995,1351672370785
1351671926347,1351672370785
1351591800440,1351671926347
1351591800440,1351591868114
1351671926347,1351591868114
1351591868114,1351671926347
1351591800440,1351672500995
1388398156925,1388397916219
1388398156925,1388398517822
1388397916219,1388398517822
1351591868114,1351672370785
1351591868114,1351672500995
1351591868114,1351591800440
1351591868114,1351671926347
1351672370785,1351672500995
1351672370785,1351591800440
1351672370785,1351671926347
1351672500995,1351591800440
1351672500995,1351671926347
1351591800440,1351671926347
1351591868114,1351672500995
1351591800440,1351671926347
1388397916219,1388398156925
1351591868114,1351591695721
1351591868114,1351591800440
1351591868114,1351672500995
1351591695721,1351591800440
1351591695721,1351672500995
1351591800440,1351672500995
1351672500995,1351591868114
1388398156925,1388398577264
1351591868114,1351672500995
1351591800440,1351591868114
1351591868114,1351672500995
1351591868114,1351671926347
1351672500995,1351671926347
1351591868114,1351671926347
1388398577264,1388398517822
1351591800440,1351672500995
1351591868114,1351672500995
1351591868114,1351671926347
1351672500995,1351671926347
1388397331212,1388397145518
1388398577264,1388398517822
1351591868114,1351672370785
1351591868114,1351591800440
1351591868114,1351672500995
1351591868114,1351671926347
1351591800440,1351672500995
1351591800440,1351671926347
1351672500995,1351671926347
1388397694740,1388397600522
1351591868114,1351672370785
1351591868114,1351672500995
1351591868114,1351671926347
1351672370785,1351672500995
1351672370785,1351671926347
1351672500995,1351671926347
1351591800440,1351672370785
1351591800440,1351591868114
1351672370785,1351591868114
1351672370785,1351672500995
1351671926347,1351591800440
1351671926347,1351591800440
